Artist,Song,Genre
A.R. Rahman,Deewaana Deewaana,Hindi Film
A.R. Rahman,Tere Bina,Hindi Film
AP Dhillon,Thodi Si Daaru,Punjabi-Haryanvi Pop
ARJN,KALYANI,Hindi Indie
Aditya Rikhari,Sahiba,Hindi Indie
Alka Yagnik,Agar Tum Saath Ho,Hindi Film
Anand Raj Anand,Ucha Lamba Kad,Hindi Film
Anirudh Ravichander,Aaya Sher,South Indian Film
Anuv Jain,Arz Kiya Hai | Coke Studio Bharat,Hindi Indie
Anuv Jain,Jo Tum Mere Ho,Hindi Indie
Arijit Singh,Humdard,Hindi Film
Arijit Singh,Mast Magan,Hindi Film
Arijit Singh,Sitaare,Hindi Film
Arijit Singh,Zaalima,Hindi Film
Atif Aslam,Tere Liye,Hindi Film
BTS,2.0,International Pop/K-Pop
BTS,Aliens,International Pop/K-Pop
BTS,Body to Body,International Pop/K-Pop
BTS,FYA,International Pop/K-Pop
BTS,Hooligan,International Pop/K-Pop
BTS,Merry Go Round,International Pop/K-Pop
BTS,NORMAL,International Pop/K-Pop
BTS,SWIM,International Pop/K-Pop
Banjaare,Bairan,Hindi Indie
Dhanda Nyoliwala,Not Guilty,Punjabi-Haryanvi Pop
Diljit Dosanjh,Dealer,Punjabi-Haryanvi Pop
Faheem Abdullah,Ehsaas,Hindi Indie
Faheem Abdullah,Ishq,Hindi Indie
G. V. Prakash,Mutta Kalakki,South Indian Film
Gajendra Verma,Mann Mera,Hindi Indie
Gajendra Verma,Mann Mera - Original Version,Hindi Indie
Hariharan,Shree Hanuman Chalisa,Devotional/Spiritual
Hellow Raja,Tu Na Samjhe,Hindi Indie
Jasmine Sandlas,Main Aur Tu,Hindi Film
Jawad Ahmad,Samjhawan,Hindi Film
Jind Universe,High On You,Punjabi-Haryanvi Pop
Kailash Kher,Teri Deewani,Hindi Film
Karan Aujla,Boyfriend,Punjabi-Haryanvi Pop
Karan Aujla,For A Reason,Punjabi-Haryanvi Pop
Kushagra,Finding Her,Hindi Indie
Maanu,Jhol - Acoustic,Hindi Indie
Manish Sonipat Aala,Aakh Ye Taalibaani,Punjabi-Haryanvi Pop
Mithoon,Darkhaast,Hindi Film
Mithoon,Dhun,Hindi Film
Mitta Ror,Sheesha,Punjabi-Haryanvi Pop
Mitta Ror,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,Punjabi-Haryanvi Pop
Navjot Ahuja,Khat,Hindi Indie
Neeti Mohan,Kithe Reh Gaya,Hindi Indie
Paresh Pahuja,Dooron Dooron,Hindi Indie
Pritam,Ye Tune Kya Kiya,Hindi Film
Sachet-Parampara,Raanjhan,Hindi Film
Sachin-Jigar,Apna Bana Le,Hindi Film
Sai Abhyankkar,Oorum Blood,South Indian Film
Sai Abhyankkar,Pavazha Malli,South Indian Film
Shashwat Sachdev,Aakhri Ishq,Hindi Film
Shashwat Sachdev,Dhurandhar - Title Track,Hindi Film
Shashwat Sachdev,Dhurandhar The Revenge - Aari Aari,Hindi Film
Shashwat Sachdev,Gehra Hua,Hindi Film
Shashwat Sachdev,Hum Pyaar Karne Wale,Hindi Film
Shashwat Sachdev,Ishq Jalakar - Karvaan,Hindi Film
Shashwat Sachdev,Jaan Se Guzarte Hain,Hindi Film
Shashwat Sachdev,Jaiye Sajana,Hindi Film
Shashwat Sachdev,Lutt Le Gaya,Hindi Film
Shashwat Sachdev,Main Aur Tu,Hindi Film
Shashwat Sachdev,Naal Nachna,Hindi Film
Shashwat Sachdev,Phir Se,Hindi Film
Shashwat Sachdev,Run Down The City - Monica,Hindi Film
Shashwat Sachdev,Shararat,Hindi Film
Shashwat Sachdev,Vaari Jaavan,Hindi Film
Talwiinder,Haseen,Punjabi-Haryanvi Pop
Tanishk Bagchi,Saiyaara,Hindi Film
The Rish,Barbaad,Hindi Indie
Virat,Bairi,Punjabi-Haryanvi Pop
Vishal Mishra,Tum Ho Toh,Hindi Film
Zeeshan Ali,Ishqa Ve,Hindi Indie
thiarajxtt,Jogi,Punjabi-Haryanvi Pop
