Artist,Song,Genre
A.R. Rahman,Deewaana Deewaana,
A.R. Rahman,Tere Bina,
AP Dhillon,Thodi Si Daaru,
ARJN,KALYANI,
Aditya Rikhari,Sahiba,
Alka Yagnik,Agar Tum Saath Ho,
Anirudh Ravichander,Aaya Sher,
Anuv Jain,Arz Kiya Hai | Coke Studio Bharat,
Anuv Jain,Jo Tum Mere Ho,
Arijit Singh,Sitaare,
Atif Aslam,Tere Liye,
BTS,Body to Body,
BTS,SWIM,
Banjaare,Bairan,
Dhanda Nyoliwala,Not Guilty,
Faheem Abdullah,Ehsaas,
Faheem Abdullah,Ishq,
G. V. Prakash,Mutta Kalakki,
Gajendra Verma,Mann Mera,
Jawad Ahmad,Samjhawan,
Kailash Kher,Teri Deewani,
Karan Aujla,Boyfriend,
Karan Aujla,For A Reason,
Kushagra,Finding Her,
Mithoon,Darkhaast,
Mithoon,Dhun,
Mitta Ror,Sheesha,
Navjot Ahuja,Khat,
Paresh Pahuja,Dooron Dooron,
Pritam,Ye Tune Kya Kiya,
Sachet-Parampara,Raanjhan,
Sachin-Jigar,Apna Bana Le,
Sai Abhyankkar,Pavazha Malli,
Shashwat Sachdev,Dhurandhar - Title Track,
Shashwat Sachdev,Dhurandhar The Revenge - Aari Aari,
Shashwat Sachdev,Gehra Hua,
Shashwat Sachdev,Ishq Jalakar - Karvaan,
Shashwat Sachdev,Jaan Se Guzarte Hain,
Shashwat Sachdev,Jaiye Sajana,
Shashwat Sachdev,Lutt Le Gaya,
Shashwat Sachdev,Naal Nachna,
Shashwat Sachdev,Run Down The City - Monica,
Shashwat Sachdev,Shararat,
Talwiinder,Haseen,
Tanishk Bagchi,Saiyaara,
The Rish,Barbaad,
Virat,Bairi,
Vishal Mishra,Tum Ho Toh,
Zeeshan Ali,Ishqa Ve,
thiarajxtt,Jogi,
