Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-10,1,Bairan,Banjaare,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,1.0,Top10,Top10,1,0
2026-03-10,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,Mitta Ror,Punjabi-Haryanvi Pop,0,Top10,True,1,1,1,1,,,0.0,0.0,False,2026-03-11,2.0,Top10,Top10,1,0
2026-03-10,3,Gehra Hua,Shashwat Sachdev,Hindi Film,0,Top10,True,1,1,1,93,,,0.0,0.0,False,2026-03-11,3.0,Top10,Top10,1,0
2026-03-10,4,Dooron Dooron,Paresh Pahuja,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,4.0,Top10,Top10,1,0
2026-03-10,5,Samjhawan,Jawad Ahmad,Hindi Film,0,Top10,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,6.0,Top10,Top10,1,0
2026-03-10,6,Sahiba,Aditya Rikhari,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,5.0,Top10,Top10,1,0
2026-03-10,7,Khat,Navjot Ahuja,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,7.0,Top10,Top10,1,0
2026-03-10,8,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,8.0,Top10,Top10,1,0
2026-03-10,9,Finding Her,Kushagra,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,9.0,Top10,Top10,1,0
2026-03-10,10,Ishq,Faheem Abdullah,Hindi Indie,0,Top10,True,1,1,1,49,,,0.0,0.0,False,2026-03-11,14.0,11-25,11-25,0,0
2026-03-10,11,Sitaare,Arijit Singh,Hindi Film,0,11-25,True,1,1,1,54,,,0.0,0.0,False,2026-03-11,10.0,Top10,Top10,1,0
2026-03-10,12,Shararat,Shashwat Sachdev,Hindi Film,0,11-25,True,1,1,1,447,,,0.0,0.0,False,2026-03-11,11.0,11-25,11-25,0,0
2026-03-10,13,Apna Bana Le,Sachin-Jigar,Hindi Film,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,12.0,11-25,11-25,0,0
2026-03-10,14,For A Reason,Karan Aujla,Punjabi-Haryanvi Pop,0,11-25,True,1,1,1,50,,,0.0,0.0,False,2026-03-11,13.0,11-25,11-25,0,0
2026-03-10,15,Boyfriend,Karan Aujla,Punjabi-Haryanvi Pop,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,16.0,11-25,11-25,0,0
2026-03-10,16,Bairi,Virat,Punjabi-Haryanvi Pop,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,17.0,11-25,11-25,0,0
2026-03-10,17,Raanjhan,Sachet-Parampara,Hindi Film,0,11-25,True,1,1,1,2,,,0.0,0.0,False,2026-03-11,20.0,11-25,11-25,0,0
2026-03-10,18,Mann Mera,Gajendra Verma,Hindi Indie,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,15.0,11-25,11-25,0,0
2026-03-10,19,Ishqa Ve,Zeeshan Ali,Hindi Indie,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,21.0,11-25,11-25,0,0
2026-03-10,20,Dhurandhar - Title Track,Shashwat Sachdev,Hindi Film,0,11-25,True,1,1,1,1,,,0.0,0.0,False,2026-03-11,19.0,11-25,11-25,0,0
2026-03-10,21,Saiyaara,Tanishk Bagchi,Hindi Film,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,18.0,11-25,11-25,0,0
2026-03-10,22,Tere Liye,Atif Aslam,Hindi Film,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,23.0,11-25,11-25,0,0
2026-03-10,23,Deewaana Deewaana,A.R. Rahman,Hindi Film,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,22.0,11-25,11-25,0,0
2026-03-10,24,Tere Bina,A.R. Rahman,Hindi Film,0,11-25,True,1,1,1,50,,,0.0,0.0,False,2026-03-11,24.0,11-25,11-25,0,0
2026-03-10,25,Aaya Sher,Anirudh Ravichander,South Indian Film,0,11-25,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,25.0,11-25,11-25,0,0
2026-03-10,26,Jo Tum Mere Ho,Anuv Jain,Hindi Indie,0,26-50,True,1,1,1,50,,,0.0,0.0,False,2026-03-11,26.0,26-50,26-50,0,0
2026-03-10,27,Agar Tum Saath Ho,Alka Yagnik,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,27.0,26-50,26-50,0,0
2026-03-10,28,Darkhaast,Mithoon,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,28.0,26-50,26-50,0,0
2026-03-10,29,Haseen,Talwiinder,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,30.0,26-50,26-50,0,0
2026-03-10,30,Tum Ho Toh,Vishal Mishra,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,31.0,26-50,26-50,0,0
2026-03-10,31,Pavazha Malli,Sai Abhyankkar,South Indian Film,0,26-50,True,1,1,1,6,,,0.0,0.0,False,2026-03-11,29.0,26-50,26-50,0,0
2026-03-10,32,Not Guilty,Dhanda Nyoliwala,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,32.0,26-50,26-50,0,0
2026-03-10,33,Ye Tune Kya Kiya,Pritam,Hindi Film,0,26-50,True,1,1,1,2,,,0.0,0.0,False,2026-03-11,33.0,26-50,26-50,0,0
2026-03-10,34,Barbaad,The Rish,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,35.0,26-50,26-50,0,0
2026-03-10,35,Shree Hanuman Chalisa,Hariharan,Devotional/Spiritual,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,,,Exit,0,1
2026-03-10,36,Teri Deewani,Kailash Kher,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,36.0,26-50,26-50,0,0
2026-03-10,37,Ehsaas,Faheem Abdullah,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,34.0,26-50,26-50,0,0
2026-03-10,38,Mast Magan,Arijit Singh,Hindi Film,0,26-50,True,1,1,1,14,,,0.0,0.0,False,2026-03-11,39.0,26-50,26-50,0,0
2026-03-10,39,Naal Nachna,Shashwat Sachdev,Hindi Film,0,26-50,True,1,1,1,330,,,0.0,0.0,False,2026-03-11,38.0,26-50,26-50,0,0
2026-03-10,40,Ishq Jalakar - Karvaan,Shashwat Sachdev,Hindi Film,0,26-50,True,1,1,1,151,,,0.0,0.0,False,2026-03-11,40.0,26-50,26-50,0,0
2026-03-10,41,Lutt Le Gaya,Shashwat Sachdev,Hindi Film,0,26-50,True,1,1,1,264,,,0.0,0.0,False,2026-03-11,37.0,26-50,26-50,0,0
2026-03-10,42,KALYANI,ARJN,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,41.0,26-50,26-50,0,0
2026-03-10,43,Dhun,Mithoon,Hindi Film,0,26-50,True,1,1,1,50,,,0.0,0.0,False,2026-03-11,45.0,26-50,26-50,0,0
2026-03-10,44,Zaalima,Arijit Singh,Hindi Film,0,26-50,True,1,1,1,105,,,0.0,0.0,False,2026-03-11,44.0,26-50,26-50,0,0
2026-03-10,45,Kithe Reh Gaya,Neeti Mohan,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,48.0,26-50,26-50,0,0
2026-03-10,46,High On You,Jind Universe,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,43.0,26-50,26-50,0,0
2026-03-10,47,Jhol - Acoustic,Maanu,Hindi Indie,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,46.0,26-50,26-50,0,0
2026-03-10,48,Aakh Ye Taalibaani,Manish Sonipat Aala,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,47.0,26-50,26-50,0,0
2026-03-10,49,Humdard,Arijit Singh,Hindi Film,0,26-50,True,1,1,1,0,,,0.0,0.0,False,2026-03-11,42.0,26-50,26-50,0,0
2026-03-10,50,Mann Mera - Original Version,Gajendra Verma,Hindi Indie,0,26-50,True,1,1,1,50,,,0.0,0.0,False,2026-03-11,50.0,26-50,26-50,0,0
2026-03-11,1,Bairan,Banjaare,Hindi Indie,1,Top10,False,1,2,2,1,1.0,0.0,0.0,0.0,False,2026-03-12,1.0,Top10,Top10,1,0
2026-03-11,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,Mitta Ror,Punjabi-Haryanvi Pop,1,Top10,False,1,2,2,2,2.0,0.0,0.0,0.0,False,2026-03-12,2.0,Top10,Top10,1,0
2026-03-11,3,Gehra Hua,Shashwat Sachdev,Hindi Film,1,Top10,False,1,2,2,94,3.0,0.0,0.0,0.0,False,2026-03-12,3.0,Top10,Top10,1,0
2026-03-11,4,Dooron Dooron,Paresh Pahuja,Hindi Indie,1,Top10,False,1,2,2,1,4.0,0.0,0.0,0.0,False,2026-03-12,4.0,Top10,Top10,1,0
