Duration,At_Risk,Events,Censored,Survival_Probability
1,116,31,2,0.7327586206896552
2,83,8,1,0.6621312837557126
3,74,7,1,0.5994972434004425
4,66,4,2,0.563164077133749
5,60,7,0,0.497461601468145
6,53,2,0,0.4786894655636867
7,51,1,0,0.4693033976114575
8,50,1,0,0.4599173296592283
9,49,1,1,0.45053126170699914
12,47,1,0,0.4409454901813183
13,46,1,0,0.43135971865563744
14,45,0,1,0.43135971865563744
16,44,1,1,0.42155608868619115
17,42,0,1,0.42155608868619115
18,41,0,1,0.42155608868619115
19,40,0,1,0.42155608868619115
20,39,0,2,0.42155608868619115
23,37,1,1,0.4101626808838617
26,35,0,35,0.4101626808838617
