Date,New_Entries,Chart_Size,Weekday,Is_Weekend
2026-03-15,0,50,Sunday,True
2026-03-16,2,50,Monday,False
2026-03-17,3,50,Tuesday,False
2026-03-18,2,50,Wednesday,False
2026-03-19,3,50,Thursday,False
2026-03-20,8,50,Friday,False
2026-03-21,6,50,Saturday,True
2026-03-22,41,50,Sunday,True
2026-03-23,41,50,Monday,False
2026-03-24,4,50,Tuesday,False
2026-03-25,4,50,Wednesday,False
2026-03-26,4,50,Thursday,False
2026-03-27,2,50,Friday,False
2026-03-28,1,50,Saturday,True
2026-03-29,1,50,Sunday,True
2026-03-30,3,50,Monday,False
2026-03-31,1,50,Tuesday,False
2026-04-01,2,50,Wednesday,False
2026-04-02,2,50,Thursday,False
