Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-15,1,Bairan,Banjaare,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,1.0,Top10,Top10,1,0
2026-03-15,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,"Mitta Ror, Swara Verma",,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,2.0,Top10,Top10,1,0
2026-03-15,3,Gehra Hua,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,3.0,Top10,Top10,1,0
2026-03-15,4,Sahiba,Aditya Rikhari,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,6.0,Top10,Top10,1,0
2026-03-15,5,Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,4.0,Top10,Top10,1,0
2026-03-15,6,Khat,Navjot Ahuja,Hindi Indie,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,5.0,Top10,Top10,1,0
2026-03-15,7,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,7.0,Top10,Top10,1,0
2026-03-15,8,"Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,8.0,Top10,Top10,1,0
2026-03-15,9,Shararat,"Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,12.0,11-25,11-25,0,0
2026-03-15,10,Finding Her,"Kushagra, Bharath, Saaheal",,0,Top10,True,1,1,1,0,,,0.0,False,2026-03-16,10.0,Top10,Top10,1,0
2026-03-15,11,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,9.0,Top10,Top10,1,0
2026-03-15,12,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,Hindi Indie,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,11.0,11-25,11-25,0,0
2026-03-15,13,Bairi,"Virat, Pradeep Solanki, Heena",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,13.0,11-25,11-25,0,0
2026-03-15,14,Ishq,"Faheem Abdullah, Rauhan Malik, Amir Ameer",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,14.0,11-25,11-25,0,0
2026-03-15,15,For A Reason,"Karan Aujla, Ikky",,0,11-25,True,1,1,1,7,,,0.0,False,2026-03-16,15.0,11-25,11-25,0,0
2026-03-15,16,Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,17.0,11-25,11-25,0,0
2026-03-15,17,Mann Mera,Gajendra Verma,Hindi Indie,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,18.0,11-25,11-25,0,0
2026-03-15,18,Boyfriend,"Karan Aujla, Ikky",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,16.0,11-25,11-25,0,0
2026-03-15,19,Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,20.0,11-25,11-25,0,0
2026-03-15,20,"Raanjhan (From ""Do Patti"")","Sachet-Parampara, Parampara Tandon, Kausar Munir",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,19.0,11-25,11-25,0,0
2026-03-15,21,Tere Liye,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,21.0,11-25,11-25,0,0
2026-03-15,22,Dhurandhar - Title Track,"Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,23.0,11-25,11-25,0,0
2026-03-15,23,Jo Tum Mere Ho,Anuv Jain,Hindi Indie,0,11-25,True,1,1,1,8,,,0.0,False,2026-03-16,25.0,11-25,11-25,0,0
2026-03-15,24,Tere Bina,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,26.0,26-50,26-50,0,0
2026-03-15,25,Deewaana Deewaana,"A.R. Rahman, Irshad Kamil",,0,11-25,True,1,1,1,0,,,0.0,False,2026-03-16,24.0,11-25,11-25,0,0
2026-03-15,26,"Pavazha Malli - From ""Think Indie""","Sai Abhyankkar, Shruti Haasan, Vivek",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,22.0,11-25,11-25,0,0
2026-03-15,27,"Aaya Sher (From ""The Paradise"") (Telugu)","Anirudh Ravichander, Jangi Reddy, Arjun Chandy, Kasarla Shyam",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,28.0,26-50,26-50,0,0
2026-03-15,28,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,27.0,26-50,26-50,0,0
2026-03-15,29,Haseen,"Talwiinder, NDS, Rippy Grewal",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,29.0,26-50,26-50,0,0
2026-03-15,30,"Tum Ho Toh (From ""Saiyaara"")","Vishal Mishra, Hansika Pareek, Raj Shekhar",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,30.0,26-50,26-50,0,0
2026-03-15,31,Ye Tune Kya Kiya,"Pritam, Javed Bashir, Rajat Arora",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,33.0,26-50,26-50,0,0
2026-03-15,32,Not Guilty,Dhanda Nyoliwala,Punjabi-Haryanvi Pop,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,32.0,26-50,26-50,0,0
2026-03-15,33,Zaalima,"Arijit Singh, Harshdeep Kaur",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,37.0,26-50,26-50,0,0
2026-03-15,34,Darkhaast,"Mithoon, Arijit Singh, Sunidhi Chauhan, Sayeed Quadri",,0,26-50,True,1,1,1,0,,,0.0,False,2026-03-16,31.0,26-50,26-50,0,0
