Song_Key,Spell_Number,Artist,Song,Genre,Start_Date,End_Date,Duration,Start_Index,End_Index,Event_Observed,Left_Boundary_Spell
a.r. rahman || deewaana deewaana,1,A.R. Rahman,Deewaana Deewaana,Hindi Film,2026-03-22,2026-03-22,1,7,7,1,0
a.r. rahman || tere bina,1,A.R. Rahman,Tere Bina,Hindi Film,2026-03-22,2026-03-22,1,7,7,1,0
"a.r. rahman, chinmayi, murtuza khan, qadir khan || tere bina",1,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",Tere Bina,,2026-03-15,2026-03-21,7,0,6,1,1
"a.r. rahman, chinmayi, murtuza khan, qadir khan || tere bina",2,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",Tere Bina,,2026-03-23,2026-04-04,13,8,20,0,0
"a.r. rahman, irshad kamil || deewaana deewaana",1,"A.R. Rahman, Irshad Kamil",Deewaana Deewaana,,2026-03-15,2026-03-21,7,0,6,1,1
"a.r. rahman, irshad kamil || deewaana deewaana",2,"A.R. Rahman, Irshad Kamil",Deewaana Deewaana,,2026-03-23,2026-04-04,13,8,20,0,0
aditya rikhari || sahiba,1,Aditya Rikhari,Sahiba,Hindi Indie,2026-03-15,2026-04-04,21,0,20,0,1
alka yagnik || agar tum saath ho,1,Alka Yagnik,Agar Tum Saath Ho,Hindi Film,2026-03-22,2026-03-22,1,7,7,1,0
"alka yagnik, arijit singh || agar tum saath ho (from ""tamasha"")",1,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",,2026-03-15,2026-03-21,7,0,6,1,1
"alka yagnik, arijit singh || agar tum saath ho (from ""tamasha"")",2,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",,2026-03-23,2026-04-04,13,8,20,0,0
"anand raj anand, kalpana patowary, chorus || ucha lamba kad",1,"Anand Raj Anand, Kalpana Patowary, Chorus",Ucha Lamba Kad,,2026-03-16,2026-03-16,1,1,1,1,0
anirudh ravichander || aaya sher,1,Anirudh Ravichander,Aaya Sher,South Indian Film,2026-03-22,2026-03-22,1,7,7,1,0
"anirudh ravichander, jangi reddy, arjun chandy, kasarla shyam || aaya sher (from ""the paradise"") (telugu)",1,"Anirudh Ravichander, Jangi Reddy, Arjun Chandy, Kasarla Shyam","Aaya Sher (From ""The Paradise"") (Telugu)",,2026-03-15,2026-03-21,7,0,6,1,1
"anirudh ravichander, jangi reddy, arjun chandy, kasarla shyam || aaya sher (from ""the paradise"") (telugu)",2,"Anirudh Ravichander, Jangi Reddy, Arjun Chandy, Kasarla Shyam","Aaya Sher (From ""The Paradise"") (Telugu)",,2026-03-23,2026-04-04,13,8,20,0,0
anuv jain || arz kiya hai | coke studio bharat,1,Anuv Jain,Arz Kiya Hai | Coke Studio Bharat,Hindi Indie,2026-03-15,2026-04-04,21,0,20,0,1
anuv jain || jo tum mere ho,1,Anuv Jain,Jo Tum Mere Ho,Hindi Indie,2026-03-15,2026-04-04,21,0,20,0,1
ap dhillon || thodi si daaru,1,AP Dhillon,Thodi Si Daaru,Punjabi-Haryanvi Pop,2026-03-22,2026-03-22,1,7,7,1,0
"ap dhillon, shreya ghoshal || thodi si daaru",1,"AP Dhillon, Shreya Ghoshal",Thodi Si Daaru,,2026-03-15,2026-03-18,4,0,3,1,1
"ap dhillon, shreya ghoshal || thodi si daaru",2,"AP Dhillon, Shreya Ghoshal",Thodi Si Daaru,,2026-03-24,2026-03-25,2,9,10,1,0
"ap dhillon, shreya ghoshal || thodi si daaru",3,"AP Dhillon, Shreya Ghoshal",Thodi Si Daaru,,2026-04-04,2026-04-04,1,20,20,0,0
"arijit singh || humdard (from ""ek villain"")",1,Arijit Singh,"Humdard (From ""Ek Villain"")",,2026-03-15,2026-03-19,5,0,4,1,1
"arijit singh || humdard (from ""ek villain"")",2,Arijit Singh,"Humdard (From ""Ek Villain"")",,2026-03-23,2026-03-23,1,8,8,1,0
arijit singh || sitaare,1,Arijit Singh,Sitaare,Hindi Film,2026-03-22,2026-03-22,1,7,7,1,0
"arijit singh, chinmayi || mast magan (from ""2 states)",1,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States)",,2026-03-15,2026-03-18,4,0,3,1,1
"arijit singh, chinmayi || mast magan (from ""2 states)",2,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States)",,2026-03-21,2026-03-21,1,6,6,1,0
"arijit singh, chinmayi || mast magan (from ""2 states)",3,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States)",,2026-03-23,2026-03-25,3,8,10,1,0
"arijit singh, chinmayi || mast magan (from ""2 states)",4,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States)",,2026-03-27,2026-03-27,1,12,12,1,0
"arijit singh, chinmayi || mast magan (from ""2 states)",5,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States)",,2026-03-31,2026-04-01,2,16,17,1,0
"arijit singh, chinmayi || mast magan (from ""2 states)",6,"Arijit Singh, Chinmayi","Mast Magan (From ""2 States)",,2026-04-03,2026-04-04,2,19,20,0,0
"arijit singh, harshdeep kaur || zaalima",1,"Arijit Singh, Harshdeep Kaur",Zaalima,,2026-03-15,2026-03-19,5,0,4,1,1
"arijit singh, harshdeep kaur || zaalima",2,"Arijit Singh, Harshdeep Kaur",Zaalima,,2026-03-21,2026-03-21,1,6,6,1,0
"arijit singh, harshdeep kaur || zaalima",3,"Arijit Singh, Harshdeep Kaur",Zaalima,,2026-04-04,2026-04-04,1,20,20,0,0
"arijit singh, white noise collectives, amitabh bhattacharya || sitaare (from ""ikkis"")",1,"Arijit Singh, White Noise Collectives, Amitabh Bhattacharya","Sitaare (From ""Ikkis"")",,2026-03-15,2026-03-21,7,0,6,1,1
"arijit singh, white noise collectives, amitabh bhattacharya || sitaare (from ""ikkis"")",2,"Arijit Singh, White Noise Collectives, Amitabh Bhattacharya","Sitaare (From ""Ikkis"")",,2026-03-23,2026-04-04,13,8,20,0,0
arjn || kalyani,1,ARJN,KALYANI,Hindi Indie,2026-03-22,2026-03-22,1,7,7,1,0
"arjn, kds, fifty4, ronn || kalyani",1,"ARJN, KDS, FIFTY4, RONN",KALYANI,,2026-03-15,2026-03-21,7,0,6,1,1
atif aslam || tere liye,1,Atif Aslam,Tere Liye,Hindi Film,2026-03-22,2026-03-22,1,7,7,1,0
"atif aslam, shreya ghoshal, sachin gupta, sameer anjaan || tere liye",1,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",Tere Liye,,2026-03-15,2026-03-21,7,0,6,1,1
"atif aslam, shreya ghoshal, sachin gupta, sameer anjaan || tere liye",2,"Atif Aslam, Shreya Ghoshal, Sachin Gupta, Sameer Anjaan",Tere Liye,,2026-03-23,2026-04-04,13,8,20,0,0
banjaare || bairan,1,Banjaare,Bairan,Hindi Indie,2026-03-15,2026-04-04,21,0,20,0,1
bts || 2.0,1,BTS,2.0,,2026-03-20,2026-03-20,1,5,5,1,0
bts || aliens,1,BTS,Aliens,,2026-03-20,2026-03-20,1,5,5,1,0
bts || body to body,1,BTS,Body to Body,International Pop/K-Pop,2026-03-20,2026-03-23,4,5,8,1,0
bts || fya,1,BTS,FYA,,2026-03-20,2026-03-20,1,5,5,1,0
bts || hooligan,1,BTS,Hooligan,,2026-03-20,2026-03-20,1,5,5,1,0
bts || merry go round,1,BTS,Merry Go Round,,2026-03-20,2026-03-20,1,5,5,1,0
bts || normal,1,BTS,NORMAL,,2026-03-20,2026-03-20,1,5,5,1,0
bts || swim,1,BTS,SWIM,International Pop/K-Pop,2026-03-20,2026-03-31,12,5,16,1,0
dhanda nyoliwala || not guilty,1,Dhanda Nyoliwala,Not Guilty,Punjabi-Haryanvi Pop,2026-03-15,2026-03-30,16,0,15,1,1
dhanda nyoliwala || not guilty,2,Dhanda Nyoliwala,Not Guilty,Punjabi-Haryanvi Pop,2026-04-01,2026-04-04,4,17,20,0,0
"diljit dosanjh, da future, virk andaaz || dealer",1,"Diljit Dosanjh, Da Future, Virk Andaaz",Dealer,,2026-03-23,2026-03-23,1,8,8,1,0
"diljit dosanjh, da future, virk andaaz || dealer",2,"Diljit Dosanjh, Da Future, Virk Andaaz",Dealer,,2026-03-29,2026-03-29,1,14,14,1,0
faheem abdullah || ehsaas,1,Faheem Abdullah,Ehsaas,Hindi Indie,2026-03-22,2026-03-22,1,7,7,1,0
faheem abdullah || ishq,1,Faheem Abdullah,Ishq,Hindi Indie,2026-03-22,2026-03-22,1,7,7,1,0
